signal_1;signal_2
1448381220471;35.6
1448381220542;35.8
1448381220613;35.9
1448381220682;35.5
1448381220752;35.9
1448381220832;35.7
1448381220912;35.7
1448381220982;36.4
1448381221062;35.7
1448381221143;35.7
1448381221221;35.8
1448381221302;35.9
1448381221371;35.7
1448381221441;36.6
1448381221512;36.6
1448381221582;35.7
1448381221652;35.7
1448381221732;36.3
1448381221812;36.3
1448381221883;35.6
1448381221953;35.9
1448381222023;35.7
1448381222092;35.9
1448381222162;36.6
1448381222232;36.6
1448381222313;36.0
1448381222392;36.6
1448381222461;35.9
1448381222542;35.8
1448381222623;35.8
1448381222692;35.8
1448381222762;36.2
1448381222832;36.4
1448381222901;36.2
1448381222942;36.1
1448381223012;36.7
1448381223093;36.6
1448381223162;36.5
1448381223232;35.9
1448381223302;36.0
1448381223381;36.3
1448381223452;36.5
1448381223522;36.1
1448381223602;36.5
1448381223671;36.4
1448381223743;36.5
1448381223822;36.4
1448381223892;35.9
1448381223962;36.1
1448381224032;36.8
1448381224112;36.3
1448381224191;37.0
1448381224262;36.1
1448381224332;36.1
1448381224402;36.1
1448381224472;36.0
1448381224542;36.5
1448381224612;36.1
1448381224653;36.3
1448381224722;36.6
1448381224822;37.1
1448381224893;37.2
1448381224963;36.2
1448381224992;36.6
1448381225062;36.5
1448381225142;36.4
1448381225212;37.1
1448381225292;36.8
1448381225362;36.7
1448381225431;36.5
1448381225502;36.7
1448381225582;36.3
1448381225662;37.4
1448381225732;37.4
1448381225802;36.6
1448381225872;36.8
1448381225953;36.8
1448381226022;36.4
1448381226093;37.4
1448381226162;36.5
1448381226231;37.1
1448381226312;36.9
1448381226382;37.2
1448381226453;36.8
1448381226521;37.0
1448381226562;36.7
1448381226590;37.0
1448381226632;36.4
1448381226702;36.6
1448381226782;36.7
1448381226852;36.5
1448381226932;37.2
1448381227012;37.2
1448381227052;36.6
1448381227122;36.8
1448381227203;36.9
1448381227272;37.1
1448381227342;37.0
1448381227411;37.4
1448381227451;36.7
1448381227481;37.7
1448381227522;36.7
1448381227572;36.7
1448381227652;37.0
1448381227742;37.2
1448381227812;37.8
1448381227892;36.9
1448381227973;37.2
1448381228053;37.6
1448381228122;37.0
1448381228218;37.0
1448381228282;36.8
1448381228352;37.2
1448381228422;37.3
1448381228491;37.0
1448381228572;37.4
1448381228652;37.3
1448381228722;37.3
1448381228792;37.9
1448381228862;37.1
1448381228932;37.1
1448381229013;37.1
1448381229082;37.4
1448381229153;37.2
1448381229221;37.0
1448381229292;37.3
1448381229362;37.1
1448381229431;37.3
1448381229502;37.7
1448381229581;37.7
1448381229662;38.1
1448381229742;38.1
1448381229822;37.7
1448381229902;37.1
1448381229982;37.8
1448381230052;38.1
1448381230122;37.8
1448381230205;37.3
1448381230272;37.6
1448381230342;37.2
1448381230412;37.8
1448381230482;37.2
1448381230552;37.3
1448381230622;37.9
1448381230692;37.3
1448381230763;37.9
1448381230832;37.3
1448381230902;37.3
1448381230973;37.7
1448381231042;37.6
1448381231112;37.8
1448381231182;37.3
1448381231251;37.4
1448381231322;38.4
1448381231393;38.3
1448381231472;37.6
1448381231552;38.0
1448381231623;38.0
1448381231693;38.3
1448381231762;37.6
1448381231832;37.9
1448381231902;38.0
1448381231972;38.1
1448381232042;37.9
1448381232122;38.2
1448381232202;37.8
1448381232272;38.7
1448381232342;37.9
1448381232422;38.2
1448381232502;38.2
1448381232572;37.6
1448381232652;38.3
1448381232733;37.8
1448381232802;37.7
1448381232872;38.0
1448381232942;37.8
1448381233012;37.7
1448381233091;38.0
1448381233132;38.1
1448381233202;38.4
1448381233281;38.0
1448381233352;38.0
1448381233422;38.1
1448381233492;38.6
1448381233563;38.5
1448381233631;38.7
1448381233702;38.3
1448381233772;38.9
1448381233852;38.1
1448381233933;38.5
1448381234012;38.4
1448381234091;38.9
1448381234163;38.4
1448381234231;38.6
1448381234312;38.0
1448381234392;38.1
1448381234461;38.7
1448381234531;38.4
1448381234601;38.9
1448381234672;38.8
1448381234742;38.0
1448381234822;39.0
1448381234902;38.3
1448381234973;38.5
1448381235042;38.2
1448381235132;38.3
1448381235202;38.3
1448381235273;38.5
1448381235352;38.3
1448381235422;38.4
1448381235491;38.6
1448381235562;38.2
1448381235632;38.6
1448381235702;38.3
1448381235782;39.3
1448381235853;38.4
1448381235923;38.5
1448381236003;38.3
1448381236072;38.6
1448381236143;38.3
1448381236211;38.3
1448381236282;38.8
1448381236352;38.5
1448381236431;39.4
1448381236502;38.5
1448381236572;39.1
1448381236642;38.6
1448381236712;39.0
1448381236792;38.7
1448381236862;38.5
1448381236932;38.5
1448381237013;39.4
1448381237102;38.5
1448381237182;39.1
1448381237252;38.6
1448381237321;38.7
1448381237393;39.0
1448381237462;38.9
1448381237542;39.7
1448381237641;39.1
1448381237722;38.9
1448381237792;39.0
1448381237862;38.6
1448381237952;39.6
1448381238042;39.3
1448381238112;38.9
1448381238182;39.3
1448381238251;39.0
1448381238322;39.0
1448381238392;38.7
1448381238463;39.1
1448381238553;39.3
1448381238642;39.4
1448381238712;39.0
1448381238791;39.1
1448381238862;39.7
1448381238942;38.8
1448381239023;39.2
1448381239092;38.7
1448381239172;38.9
1448381239241;38.8
1448381239282;38.8
1448381239352;38.6
1448381239432;39.7
1448381239512;39.7
1448381239581;39.7
1448381239653;39.2
1448381239722;39.6
1448381239802;39.1
1448381239882;39.1
1448381239962;39.4
1448381240042;39.0
1448381240112;39.5
1448381240183;39.1
1448381240251;39.2
1448381240281;39.1
1448381240312;40.2
1448381240352;39.0
1448381240422;39.0
1448381240492;39.4
1448381240563;39.1
1448381240632;39.1
1448381240702;40.2
1448381240782;39.1
1448381240852;39.2
1448381240922;39.5
1448381240992;40.4
1448381241062;39.1
1448381241132;39.2
1448381241212;39.8
1448381241281;39.1
1448381241321;39.7
1448381241392;39.8
1448381241463;39.5
1448381241531;39.4
1448381241602;40.3
1448381241672;39.4
1448381241751;39.4
1448381241822;39.5
1448381241893;39.3
1448381241962;40.5
1448381242032;39.7
1448381242112;39.4
1448381242192;39.5
1448381242261;39.3
1448381242342;39.5
1448381242423;40.5
1448381242492;39.5
1448381242562;40.1
1448381242632;39.4
1448381242712;40.3
1448381242783;39.4
1448381242852;40.2
1448381242923;39.7
1448381242993;39.8
1448381243062;39.7
1448381243142;40.4
1448381243223;39.9
1448381243291;39.8
1448381243332;39.4
1448381243356;40.1
1448381243423;39.6
